source_id,source_type,module,title,content,tags
DOC-016,canonical_doc,Receiving,Cross-Organization Receipt Mapping Gaps,Receipts that cross business units or organizations may fail when destination organization mapping is missing or inconsistent across the purchasing flow.,receiving|cross-org|mapping|organization|receipt
DOC-017,canonical_doc,Receiving,Supplier Compliance Holds on Receiving,"Inbound receipts can be blocked when supplier compliance, documentation, or audit flags are active for the supplier or shipment.",receiving|supplier|compliance|hold|receipt
DOC-018,canonical_doc,Receiving,Over-Receipt Control Failures,"Systems commonly block receipts that exceed allowed tolerance, remaining ordered quantity, or approved over-receipt configuration.",receiving|over-receipt|quantity|tolerance|control
DOC-019,canonical_doc,Receiving,Receiving Calendar and Cutoff Issues,"Receiving transactions may fail when plant calendars, accounting dates, or operational cutoff windows do not allow posting for the requested date.",receiving|calendar|cutoff|date|posting
DOC-020,canonical_doc,Receiving,Receiving Interface Staging Validation Errors,Inbound receipt messages can fail during staging when mandatory attributes are missing or field values do not meet validation rules.,receiving|staging|interface|validation|mandatory
DOC-021,canonical_doc,Receiving,Blind Receipt Restriction Violations,Blind receipt flows fail when policy or buyer controls do not permit receipt without visible ordered quantities or pre-approved tolerances.,receiving|blind-receipt|policy|buyer|control
DOC-022,canonical_doc,Receiving,Cancelled Receipt Line Validation,"Receiving fails when a purchase order line, shipment line, or schedule line was cancelled upstream but still appears in the inbound event.",receiving|cancelled-line|po|shipment|validation
DOC-023,canonical_doc,Shipping,Invalid Warehouse Code Failures,"Shipment confirmations commonly fail when the warehouse code in the outbound transaction is invalid, inactive, or not eligible for the shipping flow.",shipping|warehouse|validation|shipment|setup
DOC-024,canonical_doc,Shipping,Carrier Service Setup Problems,"Shipping confirmation can fail when carrier, service level, or freight terms are missing or inconsistent with the shipment record.",shipping|carrier|service|freight|setup
DOC-025,canonical_doc,Shipping,Shipment Line Status Eligibility Errors,"Shipment confirmation is blocked when order lines are not picked, packed, released, or otherwise in the correct status for shipping.",shipping|line-status|pick|pack|release
DOC-026,canonical_doc,Shipping,Downstream Shipping Posting Timeouts,"Outbound shipping updates may fail when downstream systems time out during confirmation, freight posting, or delivery status synchronization.",shipping|timeout|downstream|integration|posting
DOC-027,canonical_doc,Shipping,Tracking Number Validation Issues,"Shipping can fail when tracking numbers are missing, duplicate, malformed, or inconsistent with carrier formatting rules.",shipping|tracking|carrier|validation|duplicate
DOC-028,canonical_doc,Shipping,Wave Release Dependencies,Shipment processing may fail when the pick wave or release wave has not completed and the shipment is confirmed too early.,shipping|wave|release|pick|warehouse
DOC-029,canonical_doc,Shipping,Packing Completion Dependencies,"Shipping confirmation requires complete pack details, cartonization data, or load association before the transaction can be finalized.",shipping|packing|carton|load|validation
DOC-030,canonical_doc,Shipping,Ship-To Address Validation Failures,"Outbounds may be blocked when the destination address fails validation, is incomplete, or violates carrier-specific address rules.",shipping|address|validation|carrier|destination
DOC-031,canonical_doc,Shipping,Hazmat Shipping Documentation Blocks,"Hazardous material shipments often require mandatory documentation, labels, and approvals before confirmation can proceed.",shipping|hazmat|document|approval|compliance
DOC-032,canonical_doc,Shipping,Export Compliance Hold on Shipment,"Export-related shipments may fail confirmation when screening, embargo, or customs clearance holds remain unresolved.",shipping|export|compliance|hold|customs
DOC-033,canonical_doc,Shipping,Closed Load Shipment Blocks,Shipping confirmation can fail when a load is already closed or dispatched and additional shipment activity attempts to use the same load.,shipping|load|closed|dispatch|validation
DOC-034,canonical_doc,Shipping,Route Sequence Validation Problems,"Shipping flows may reject transactions when route, stop sequence, or delivery run data is inconsistent with the transportation plan.",shipping|route|sequence|transportation|stop
DOC-035,canonical_doc,Shipping,Inactive Carrier Account Issues,"Shipment confirmation fails when the carrier account, billing profile, or shipping account is inactive or missing.",shipping|carrier|account|billing|inactive
DOC-036,canonical_doc,Shipping,Freight Terms Validation Errors,"Shipping records can fail when freight terms in the order, carrier contract, or shipment payload do not align.",shipping|freight-terms|carrier|contract|validation
DOC-037,canonical_doc,Shipping,Container Assignment Gaps,"Shipment processing may fail when required container, pallet, or handling unit assignments are missing from the outbound record.",shipping|container|pallet|handling-unit|packing
DOC-038,canonical_doc,Shipping,Short Shipment Control Failures,Short shipment protections may block confirmation until shortage reason codes and approvals are recorded for the remaining quantity.,shipping|short-ship|approval|reason-code|quantity
DOC-039,canonical_doc,Shipping,Missed Delivery Appointment Exceptions,Transportation appointment controls may stop confirmation or dispatch when the planned appointment window has expired.,shipping|appointment|delivery|window|transportation
DOC-040,canonical_doc,Shipping,Manifest Generation Dependencies,"Some outbound flows cannot confirm until manifest generation, customs packet creation, or outbound documentation completes successfully.",shipping|manifest|document|customs|outbound
DOC-041,canonical_doc,Inventory,Insufficient Stock Allocation Failures,Allocation failures often occur when available on-hand inventory is below the requested quantity or reserved stock reduces usable supply.,inventory|allocation|stock|availability|reservation
DOC-042,canonical_doc,Inventory,Reservation Conflict Issues,"Inventory processing can fail when existing reservations, competing demand, or stale allocation records consume the same available stock.",inventory|reservation|conflict|allocation|demand
DOC-043,canonical_doc,Inventory,Lot Mismatch Validation Errors,"Inventory moves and allocations fail when selected lot numbers do not match status, ownership, expiration, or transaction requirements.",inventory|lot|validation|allocation|ownership
DOC-044,canonical_doc,Inventory,Serial Validation Errors,"Serial-controlled inventory requires serial numbers that exist, are unique, and are in a status that permits the requested movement.",inventory|serial|validation|status|controlled
DOC-045,canonical_doc,Inventory,Warehouse Item Assignment Gaps,"Inventory transactions fail when the item is not assigned, stocked, or enabled for the target warehouse or subinventory.",inventory|item|warehouse|assignment|setup
DOC-046,canonical_doc,Inventory,Expired Lot Movement Blocks,"Inventory controls often prevent movement, allocation, or shipment of expired lots unless an override workflow is approved.",inventory|expired-lot|date|control|override
DOC-047,canonical_doc,Inventory,Cycle Count Lock Conflicts,Inventory adjustments and movements may fail when locations or items are locked for active cycle count or physical inventory activity.,inventory|cycle-count|lock|physical-inventory|location
DOC-048,canonical_doc,Inventory,Negative Inventory Prevention,Systems may block inventory issues or transfers that would drive on-hand below zero in a controlled organization or subinventory.,inventory|negative-balance|control|stock|issue
DOC-049,canonical_doc,Inventory,Cost Group Assignment Problems,"Inventory movements may fail when cost group, valuation unit, or accounting assignment is missing for the material or destination.",inventory|cost-group|valuation|accounting|setup
DOC-050,canonical_doc,Inventory,Inactive Locator Validation,"Inventory moves can fail when the source or destination locator is inactive, disabled, or not valid for the item and transaction type.",inventory|locator|inactive|warehouse|move
DOC-051,canonical_doc,Inventory,Inventory Ownership Mismatch Failures,"Transactions involving consigned, owned, or customer-owned stock can fail when ownership rules do not match the requested movement.",inventory|ownership|consigned|stock|validation
DOC-052,canonical_doc,Inventory,Quarantine Hold Movement Blocks,"Inventory may not be issued, transferred, or allocated while it remains in quarantine, pending inspection, or blocked quality status.",inventory|quarantine|quality|hold|status
DOC-053,canonical_doc,Inventory,Inventory UOM Conversion Failures,Inventory adjustments and transfers may fail when UOM conversion rules are missing between the requested transaction unit and stocking unit.,inventory|uom|conversion|transfer|adjustment
DOC-054,canonical_doc,Inventory,Replenishment Timing Conflicts,Allocation may fail temporarily when replenishment tasks are pending and stock has not yet moved into the picking location.,inventory|replenishment|allocation|picking|timing
DOC-055,canonical_doc,Inventory,Transfer Order Dependency Issues,"Inventory transfers can fail when the related transfer order or movement request is missing, cancelled, or in an incompatible status.",inventory|transfer-order|movement-request|status|validation
DOC-056,canonical_doc,Inventory,Count Variance Approval Dependencies,Inventory adjustment transactions may be blocked until large count variances receive supervisor approval based on policy thresholds.,inventory|variance|approval|adjustment|count
DOC-057,canonical_doc,Inventory,Disabled Subinventory Validation,"Inventory transactions fail when the target subinventory is disabled, closed, or not eligible for the requested movement type.",inventory|subinventory|disabled|status|move
DOC-058,canonical_doc,Inventory,Backdated Inventory Posting Controls,Backdated inventory transactions can be rejected when accounting periods are closed or policy limits prohibit retroactive stock movement.,inventory|backdate|period|accounting|control
DOC-059,canonical_doc,Labeling,Missing Printer Assignment Issues,"Label generation often fails when the requesting site, user, zone, or workstation has no active printer assignment.",label|printer|assignment|site|workstation
DOC-060,canonical_doc,Labeling,Missing Label Template Problems,"Label printing is blocked when the requested label template is missing, unpublished, or not assigned to the requested document type.",label|template|missing|publishing|assignment
DOC-061,canonical_doc,Labeling,Print Service Availability Failures,"Labeling may fail when the print service is offline, unreachable, or overloaded at the moment the request is submitted.",label|print-service|offline|queue|availability
DOC-062,canonical_doc,Labeling,Label Printing Permission Errors,"Users may be blocked from label generation when role-based access does not allow the requested printer, template, or site action.",label|permission|role|access|printer
DOC-063,canonical_doc,Labeling,Template Version Mismatch Failures,Label requests can fail when client and server components expect different template versions or incompatible field sets.,label|template-version|compatibility|field|rendering
DOC-064,canonical_doc,Labeling,Required Barcode Field Validation,"Label rendering fails when mandatory barcode fields such as lot, serial, SSCC, or pallet ID are missing from the request payload.",label|barcode|field|validation|payload
DOC-065,canonical_doc,Labeling,Duplicate Label Print Prevention,Some label flows intentionally block duplicate printing unless a reprint reason and supervisor approval are recorded.,label|duplicate|reprint|approval|control
DOC-066,canonical_doc,Labeling,ZPL Rendering Failures,"Label generation may fail when ZPL rendering encounters unsupported commands, malformed fields, or incompatible printer capabilities.",label|zpl|render|printer|format
DOC-067,canonical_doc,Labeling,Network Printer Offline Errors,"Label printing can fail when the assigned network printer is offline, disconnected, or unreachable from the labeling service.",label|network|printer|offline|connectivity
DOC-068,canonical_doc,Labeling,Site to Template Mapping Gaps,"Label requests fail when the site, warehouse, or operation has no valid mapping to the required label template family.",label|site|template|mapping|warehouse
DOC-069,canonical_doc,Labeling,Mandatory Reprint Reason Validation,Controlled reprints may be blocked until the user enters a valid reprint reason and audit trail information.,label|reprint|reason|audit|validation
DOC-070,canonical_doc,Labeling,Font Package Dependency Failures,Label rendering can break when required font packages or image assets are missing from the labeling runtime.,label|font|asset|rendering|runtime
DOC-071,canonical_doc,Labeling,Label Queue Backlog Delays,High print queue backlog may delay or temporarily fail label requests until queue depth returns to safe operational thresholds.,label|queue|backlog|throughput|service
DOC-072,canonical_doc,Labeling,Missing Label Image Asset Errors,"Templates that depend on logos, certification marks, or handling icons fail when required image assets are not deployed.",label|image|asset|template|logo
DOC-073,canonical_doc,Labeling,Language Pack Availability Issues,Multilingual label requests can fail when the requested language pack or locale-specific content is unavailable.,label|language|locale|translation|template
DOC-074,canonical_doc,Labeling,Expired Label API Token Failures,Cloud or service-based labeling APIs may reject requests when authentication tokens expire and are not refreshed in time.,label|api-token|authentication|service|expired
DOC-075,canonical_doc,Integration,Downstream Interface Timeout Failures,"Integration flows often fail when downstream systems time out during synchronous posting, callback, or acknowledgment processing.",integration|timeout|downstream|posting|acknowledgment
DOC-076,canonical_doc,Integration,Integration Authentication Failures,"Interfaces may fail when credentials, certificates, tokens, or trust relationships are expired, missing, or invalid.",integration|authentication|token|certificate|security
DOC-077,canonical_doc,Integration,Payload Schema Validation Errors,"Message processing fails when incoming payloads do not conform to the target schema, required fields, or supported value ranges.",integration|schema|payload|validation|mandatory
DOC-078,canonical_doc,Integration,Endpoint Availability Failures,"Interfaces may reject or drop transactions when the remote endpoint is unavailable, disabled, or unreachable from the integration runtime.",integration|endpoint|unavailable|network|runtime
DOC-079,canonical_doc,Integration,Orphaned Staging Record Problems,Integration pipelines can leave orphaned staging records when parent-child references break or message handoff fails mid-process.,integration|staging|orphaned|handoff|message
DOC-080,canonical_doc,Integration,Duplicate Message Replay Protection,"Interfaces commonly protect against duplicate replay when the same external key, event ID, or message hash is received more than once.",integration|duplicate|replay|idempotency|message
DOC-081,canonical_doc,Integration,Missing Interface Acknowledgment Issues,Transaction status may remain failed or pending when acknowledgments from dependent systems do not arrive within the allowed window.,integration|acknowledgment|pending|timeout|status
DOC-082,canonical_doc,Integration,Expired Integration Certificate Failures,Mutual TLS and certificate-based integrations can fail immediately when certificates expire or do not match the expected trust chain.,integration|certificate|tls|security|expired
DOC-083,canonical_doc,Integration,API Rate Limit Exceeded Errors,"High-volume integrations can hit provider throttling or rate limits, causing temporary failures until backoff and retry policies are applied.",integration|rate-limit|throttle|api|retry
DOC-084,canonical_doc,Integration,Transformation Mapping Gaps,"Integration processing fails when data transformation rules are missing for key attributes, codes, or target-specific structures.",integration|mapping|transformation|attribute|code
DOC-085,canonical_doc,Integration,Message Ordering Conflicts,Event-driven flows may fail when dependent messages arrive out of order and the target system rejects the later event first.,integration|ordering|event|dependency|sequence
DOC-086,canonical_doc,Integration,Interface Queue Backlog Delays,Large interface queue depth can delay processing and cause timeouts or stale status transitions in dependent systems.,integration|queue|backlog|delay|throughput
DOC-087,canonical_doc,Integration,Webhook Signature Validation Failures,"Webhook-based integrations reject callbacks when signatures, secrets, or timestamp validation do not match policy.",integration|webhook|signature|security|timestamp
DOC-088,canonical_doc,Integration,Integration Batch Window Restrictions,Some batch integrations only run during approved windows and will reject transactions submitted outside their processing schedule.,integration|batch-window|schedule|processing|control
DOC-089,canonical_doc,Integration,Reference Code Mapping Errors,"Integration payloads fail when customer, supplier, item, or location reference codes are not mapped into the target system.",integration|reference-code|mapping|master-data|payload
DOC-090,canonical_doc,Integration,Payload Compression Decode Errors,Inbound integration files may fail when attachments or payload bodies cannot be decompressed or decoded correctly.,integration|compression|decode|file|payload
DOC-091,canonical_doc,Purchasing,Inactive Supplier Setup Problems,Purchase processing fails when the supplier or supplier site is inactive for the business unit or transaction date.,purchasing|supplier|inactive|site|setup
DOC-092,canonical_doc,Purchasing,Missing Buyer Assignment Errors,"Purchase transactions can fail when the document requires a buyer assignment that is blank, invalid, or no longer active.",purchasing|buyer|assignment|approval|setup
DOC-093,canonical_doc,Purchasing,Purchase Approval Dependency Issues,Downstream purchasing actions may be blocked while the purchase document remains in pending approval or rejected status.,purchasing|approval|status|workflow|po
DOC-094,canonical_doc,Purchasing,Tax Code Validation Failures,"Purchasing may fail when tax code, tax jurisdiction, or supplier tax setup is missing for the document line.",purchasing|tax|jurisdiction|supplier|validation
DOC-095,canonical_doc,Purchasing,Payment Terms Mismatch Issues,"Purchase processing can stop when payment terms on the supplier, site, and purchase order are inconsistent or invalid.",purchasing|payment-terms|supplier|site|po
DOC-096,canonical_doc,Purchasing,Currency Conversion Setup Gaps,Purchasing transactions fail when exchange rate or currency conversion data is unavailable for the transaction date.,purchasing|currency|exchange-rate|conversion|date
DOC-097,canonical_doc,Purchasing,Expired Purchase Contract Blocks,"Purchasing may reject transactions that reference contracts, blanket agreements, or sourcing documents past expiration.",purchasing|contract|blanket-agreement|expiration|sourcing
DOC-098,canonical_doc,Purchasing,Supplier Documentation Compliance Gaps,Purchase transactions can be held when required supplier compliance documents are missing or outdated.,purchasing|supplier|compliance|document|hold
DOC-099,canonical_doc,Returns,Missing Return Reason Validation,Return processing can fail when mandatory return reason codes are missing or not valid for the document type.,returns|reason-code|validation|rma|mandatory
DOC-100,canonical_doc,Returns,Invalid Restock Location Issues,"Returns may fail when the designated restock or quarantine location is inactive, invalid, or not mapped for returns.",returns|restock|location|quarantine|mapping
DOC-101,canonical_doc,Returns,Return Inspection Workflow Dependencies,"Returned material may require inspection before disposition, credit, or restock actions can proceed.",returns|inspection|workflow|quality|disposition
DOC-102,canonical_doc,Returns,Missing Return Disposition Errors,"Return processing fails when no final disposition such as restock, scrap, repair, or vendor return is assigned.",returns|disposition|restock|scrap|repair
DOC-103,canonical_doc,Returns,Credit Memo Dependency Issues,Returns that require customer credit may pause when credit memo creation fails or accounting prerequisites are incomplete.,returns|credit-memo|accounting|customer|dependency
DOC-104,canonical_doc,Returns,Return Serial Eligibility Problems,"Serial-based returns may be blocked when the serial does not belong to the customer order, has already been returned, or is unknown.",returns|serial|eligibility|customer|validation
