shipment_id,order_id,customer_name,origin_city,destination_city,carrier,shipment_status,priority,shipment_mode,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,generated_at,estimated_delivery_time
SHP-1010,ORD-5010,Customer 11,Dallas,Miami,DHL,Dispatched,Normal,Rail,20.92,-1.8,7.1,6.81,3.06,2.57,1.15,2.02,7420.14,3.04,6.41,8785.66,5.32,5.61,5.68,6.94,8.35,2026-04-24T01:34:40,2026-04-30T11:31:15
SHP-1011,ORD-5011,Customer 12,New York,San Francisco,UPS,Warehouse Processing,High,Truck,10.94,7.62,6.0,9.07,7.23,9.1,5.77,8.98,6305.04,1.84,5.75,6456.11,-1.63,3.18,5.25,2.45,9.09,2026-04-24T01:34:40,2026-04-29T19:29:31
SHP-1012,ORD-5012,Customer 13,Atlanta,Denver,DHL,Warehouse Processing,High,Air,16.08,-0.41,6.46,1.05,5.84,2.45,1.08,3.14,2805.58,6.97,10.69,7490.26,20.99,1.91,4.62,8.64,6.92,2026-04-24T01:34:40,2026-05-04T18:03:17
SHP-1013,ORD-5013,Customer 14,Los Angeles,Houston,FedEx,At Port,Normal,Rail,15.73,8.72,6.11,3.2,4.27,9.76,1.84,6.19,4092.39,3.39,13.49,2032.91,23.9,4.31,3.45,3.53,1.22,2026-04-24T01:34:40,2026-05-07T13:18:20
SHP-1014,ORD-5014,Customer 15,Dallas,Boston,DHL,Dispatched,Normal,Truck,12.28,11.47,6.81,9.23,7.73,4.33,2.59,8.68,2567.26,9.59,14.0,3912.47,29.05,9.46,0.62,3.85,2.53,2026-04-24T01:34:40,2026-05-08T01:29:34
SHP-1015,ORD-5015,Customer 16,Seattle,Denver,UPS,At Port,High,Ocean,13.81,10.04,6.01,1.87,6.06,6.54,9.43,7.27,5709.13,6.13,2.96,3658.96,6.74,7.26,7.93,8.28,8.29,2026-04-24T01:34:40,2026-04-27T00:38:46
SHP-1016,ORD-5016,Customer 17,Seattle,Boston,XPO Logistics,Warehouse Processing,Normal,Rail,20.13,1.41,8.8,8.18,3.32,6.85,9.22,1.85,4752.76,5.51,12.14,455.83,13.62,5.6,5.76,5.88,3.58,2026-04-24T01:34:40,2026-05-06T04:57:51
SHP-1017,ORD-5017,Customer 18,Dallas,Boston,XPO Logistics,In Transit,Normal,Air,8.67,5.97,6.32,4.24,1.14,2.14,1.27,1.47,4391.43,8.4,11.78,5452.29,20.5,1.34,4.42,7.53,9.78,2026-04-24T01:34:40,2026-05-05T20:17:44
SHP-1018,ORD-5018,Customer 19,Dallas,San Francisco,UPS,Customs Review,High,Truck,19.21,7.14,5.65,4.95,3.57,1.71,3.91,2.56,1504.57,3.44,14.48,2577.4,16.97,8.16,0.69,7.43,6.94,2026-04-24T01:34:40,2026-05-08T13:01:40
SHP-1019,ORD-5019,Customer 20,Atlanta,Boston,XPO Logistics,Warehouse Processing,Normal,Ocean,17.88,-3.77,3.52,6.51,1.37,4.78,9.59,1.41,613.61,5.99,5.98,8569.06,23.15,7.64,2.36,5.27,1.88,2026-04-24T01:34:40,2026-04-30T01:11:05
SHP-1020,ORD-5020,Customer 21,Seattle,San Francisco,FedEx,Warehouse Processing,Normal,Truck,11.37,6.01,5.42,4.59,4.27,6.54,5.26,8.71,5371.94,4.9,1.63,1713.05,-2.18,2.56,5.26,6.78,1.24,2026-04-24T01:34:40,2026-04-25T16:48:00
SHP-1021,ORD-5021,Customer 22,Los Angeles,Miami,XPO Logistics,Dispatched,High,Rail,11.56,11.38,6.27,6.79,7.29,5.12,9.46,2.76,834.08,4.49,14.18,1097.7,-4.27,6.18,4.59,1.85,7.15,2026-04-24T01:34:40,2026-05-08T05:54:36
SHP-1022,ORD-5022,Customer 23,New York,Houston,J.B. Hunt,In Transit,Normal,Rail,15.69,10.04,1.64,8.33,6.01,3.54,3.87,8.23,2471.67,1.21,10.75,1856.65,25.02,8.6,1.39,8.26,9.91,2026-04-24T01:34:40,2026-05-04T19:40:53
SHP-1023,ORD-5023,Customer 24,Seattle,Boston,J.B. Hunt,Dispatched,High,Rail,17.83,-2.35,4.71,9.38,7.27,8.73,4.35,5.55,6663.72,4.07,11.51,3268.49,30.82,7.99,3.72,4.5,1.1,2026-04-24T01:34:40,2026-05-05T13:52:14
SHP-1024,ORD-5024,Customer 25,New York,Boston,FedEx,Warehouse Processing,Normal,Air,9.98,1.26,9.15,9.56,5.54,6.16,1.82,7.77,6395.16,9.55,7.28,7917.22,-1.35,3.87,5.24,5.45,1.52,2026-04-24T01:34:40,2026-05-01T08:15:20
SHP-1025,ORD-5025,Customer 26,Los Angeles,Miami,DHL,Dispatched,Normal,Truck,6.72,-2.65,5.95,2.05,5.76,2.29,4.97,1.65,6628.32,4.16,9.66,7091.8,-1.75,8.99,6.21,1.76,9.88,2026-04-24T01:34:40,2026-05-03T17:17:57
SHP-1026,ORD-5026,Customer 27,Los Angeles,San Francisco,XPO Logistics,In Transit,Normal,Truck,18.21,4.93,4.37,9.87,3.68,7.78,4.34,9.16,1156.22,9.53,2.17,4976.99,-4.55,8.32,3.32,5.22,1.51,2026-04-24T01:34:40,2026-04-26T05:38:03
SHP-1027,ORD-5027,Customer 28,Dallas,San Francisco,XPO Logistics,Warehouse Processing,Critical,Air,19.77,-0.42,2.07,6.25,7.72,9.66,2.06,1.11,7768.07,7.71,5.0,527.28,30.65,6.84,3.31,5.75,9.94,2026-04-24T01:34:40,2026-04-29T01:34:38
SHP-1028,ORD-5028,Customer 29,Dallas,Boston,UPS,At Port,Normal,Ocean,14.93,10.42,1.66,6.66,0.84,7.26,5.98,3.53,7618.17,5.71,9.79,8913.61,13.23,9.72,3.91,6.58,3.5,2026-04-24T01:34:40,2026-05-03T20:26:14
SHP-1029,ORD-5029,Customer 30,Atlanta,Boston,XPO Logistics,In Transit,Normal,Rail,14.11,0.95,2.69,1.7,6.6,9.77,5.17,7.16,1552.15,6.25,10.77,9118.18,27.9,4.18,7.9,9.55,7.53,2026-04-24T01:34:40,2026-05-04T20:09:37
SHP-1030,ORD-5030,Customer 31,Chicago,Phoenix,J.B. Hunt,Warehouse Processing,Normal,Truck,21.78,-1.59,6.52,1.41,4.96,1.24,4.76,4.43,7768.34,8.79,12.35,8436.98,28.53,9.39,3.32,5.22,4.73,2026-04-24T01:34:40,2026-05-06T09:55:26
SHP-1031,ORD-5031,Customer 32,Los Angeles,Phoenix,FedEx,Dispatched,Normal,Air,21.06,9.59,3.46,10.0,2.36,9.97,1.51,5.05,1294.53,8.32,11.77,9545.11,19.25,8.78,4.67,3.06,7.05,2026-04-24T01:34:40,2026-05-05T19:57:27
SHP-1032,ORD-5032,Customer 33,Chicago,Phoenix,J.B. Hunt,Dispatched,Normal,Truck,14.38,4.98,6.56,5.68,7.07,7.95,4.22,4.63,1331.92,7.04,12.93,384.95,25.21,2.02,4.4,6.58,7.34,2026-04-24T01:34:40,2026-05-06T23:54:39
SHP-1033,ORD-5033,Customer 34,Dallas,Boston,UPS,Warehouse Processing,Normal,Ocean,10.92,4.22,2.92,6.31,6.38,4.53,2.23,4.57,5090.07,4.16,13.66,8637.4,32.98,1.13,3.78,2.32,9.34,2026-04-24T01:34:40,2026-05-07T17:22:31
SHP-1034,ORD-5034,Customer 35,Atlanta,Denver,UPS,In Transit,Normal,Air,6.29,-1.94,5.43,5.43,1.46,3.96,3.32,2.37,1368.97,9.82,4.36,6444.66,2.28,5.13,5.25,4.11,9.07,2026-04-24T01:34:40,2026-04-28T10:16:00
SHP-1035,ORD-5035,Customer 36,Chicago,Denver,XPO Logistics,Customs Review,Normal,Ocean,6.51,-2.07,5.27,1.37,3.96,2.52,7.01,2.86,3104.88,2.73,3.48,5083.83,22.62,2.55,2.59,1.35,8.19,2026-04-24T01:34:40,2026-04-27T13:03:12
SHP-1036,ORD-5036,Customer 37,Seattle,San Francisco,FedEx,In Transit,High,Truck,8.14,-0.65,6.65,1.55,3.28,3.49,1.74,5.36,5060.56,9.29,11.48,3752.25,13.5,8.86,6.55,7.73,1.33,2026-04-24T01:34:40,2026-05-05T12:59:35
SHP-1037,ORD-5037,Customer 38,Los Angeles,Houston,UPS,Dispatched,Normal,Rail,9.12,0.31,3.27,5.79,3.33,1.96,7.42,1.18,2780.01,5.61,8.46,2193.34,8.1,9.06,3.86,2.08,9.01,2026-04-24T01:34:40,2026-05-02T12:32:14
SHP-1038,ORD-5038,Customer 39,Atlanta,Houston,DHL,Customs Review,Normal,Air,12.34,-1.96,6.34,1.78,2.63,5.83,7.11,4.27,5273.56,5.49,11.44,5750.71,9.24,8.1,4.9,9.88,6.45,2026-04-24T01:34:40,2026-05-05T12:02:44
SHP-1039,ORD-5039,Customer 40,Atlanta,Boston,FedEx,In Transit,Normal,Truck,20.25,-2.72,3.14,2.45,4.43,2.68,1.92,4.69,7864.32,3.21,3.43,1209.19,10.91,2.38,2.64,9.73,8.79,2026-04-24T01:34:40,2026-04-27T11:49:53
SHP-1040,ORD-5040,Customer 41,Los Angeles,Houston,UPS,Customs Review,High,Truck,18.08,-1.01,8.35,9.36,2.93,6.01,3.32,4.83,4208.6,7.02,4.92,2499.86,-0.41,2.54,4.79,6.5,3.6,2026-04-24T01:34:40,2026-04-28T23:39:03
SHP-1041,ORD-5041,Customer 42,Atlanta,Phoenix,UPS,Customs Review,Normal,Air,21.83,1.16,6.23,1.47,6.57,4.03,2.39,3.29,5547.57,5.79,1.89,7626.26,18.83,5.33,1.51,5.24,4.71,2026-04-24T01:34:40,2026-04-25T22:52:19
SHP-1042,ORD-5042,Customer 43,Chicago,Denver,DHL,Customs Review,Normal,Ocean,6.13,7.86,4.14,2.12,4.81,7.58,9.37,8.58,1376.25,9.69,3.54,7973.15,3.07,8.48,7.54,2.47,2.48,2026-04-24T01:34:40,2026-04-27T14:28:20
SHP-1043,ORD-5043,Customer 44,Dallas,Houston,DHL,Dispatched,High,Ocean,11.41,3.4,8.33,8.89,2.76,4.53,6.99,7.73,4170.95,4.23,7.15,2398.91,30.98,5.71,6.62,4.46,5.89,2026-04-24T01:34:40,2026-05-01T05:07:38
SHP-1044,ORD-5044,Customer 45,Seattle,Miami,FedEx,In Transit,Critical,Truck,15.54,4.54,9.16,6.65,7.2,4.01,6.62,8.1,1467.9,9.46,12.12,3186.05,4.94,2.05,1.54,7.7,1.3,2026-04-24T01:34:40,2026-05-06T04:22:13
SHP-1045,ORD-5045,Customer 46,Los Angeles,Boston,FedEx,Dispatched,Normal,Air,11.75,8.76,6.13,8.39,1.62,2.0,7.86,3.06,5861.34,4.08,2.78,7228.36,20.65,8.89,6.85,7.25,5.88,2026-04-24T01:34:40,2026-04-26T20:24:50
SHP-1046,ORD-5046,Customer 47,Seattle,Houston,XPO Logistics,In Transit,Normal,Truck,7.61,5.38,3.27,6.25,4.29,4.61,4.11,6.5,439.45,9.18,14.26,8734.03,32.28,2.63,3.97,6.09,7.27,2026-04-24T01:34:40,2026-05-08T07:51:54
SHP-1047,ORD-5047,Customer 48,New York,Boston,FedEx,Warehouse Processing,Critical,Air,20.73,3.21,9.3,6.46,1.35,4.82,7.37,9.86,6759.52,6.19,14.08,1334.16,31.83,2.37,6.02,8.83,5.67,2026-04-24T01:34:40,2026-05-08T03:31:31
SHP-1048,ORD-5048,Customer 49,Chicago,Houston,DHL,Dispatched,Normal,Rail,14.14,10.72,6.32,8.23,3.1,1.04,4.59,4.12,5978.76,4.02,6.57,4576.96,3.98,1.49,3.0,5.07,2.27,2026-04-24T01:34:40,2026-04-30T15:21:45
SHP-1049,ORD-5049,Customer 50,Seattle,San Francisco,DHL,Customs Review,Normal,Air,16.28,-1.15,2.59,4.26,7.71,6.23,5.49,2.34,3492.61,9.23,1.18,944.96,34.87,4.77,5.24,5.52,6.36,2026-04-24T01:34:40,2026-04-25T05:58:39
SHP-1050,ORD-5050,Customer 51,Los Angeles,Denver,J.B. Hunt,Warehouse Processing,Normal,Truck,14.6,-2.95,1.6,2.85,6.32,2.72,7.75,5.08,4337.81,9.08,7.61,4463.55,11.03,2.89,0.77,6.04,2.4,2026-04-24T01:34:40,2026-05-01T16:11:32
SHP-1051,ORD-5051,Customer 52,New York,Houston,J.B. Hunt,At Port,Critical,Truck,7.65,7.46,2.64,3.44,5.44,6.8,8.76,1.24,2009.19,4.36,1.36,2387.64,21.88,9.52,3.57,1.18,1.94,2026-04-24T01:34:40,2026-04-25T10:06:28
SHP-1052,ORD-5052,Customer 53,Los Angeles,Houston,DHL,At Port,Normal,Rail,19.11,2.35,8.2,1.89,5.51,3.19,2.61,2.84,2557.24,3.14,12.98,8973.72,-4.48,6.87,5.92,1.77,2.87,2026-04-24T01:34:40,2026-05-07T01:05:31
SHP-1053,ORD-5053,Customer 54,New York,San Francisco,J.B. Hunt,In Transit,Normal,Rail,11.45,5.44,1.24,9.03,2.51,8.36,2.63,6.62,3452.47,4.79,4.63,5565.27,12.45,6.25,3.06,3.65,9.54,2026-04-24T01:34:40,2026-04-28T16:44:39
SHP-1054,ORD-5054,Customer 55,Seattle,Phoenix,UPS,At Port,High,Rail,9.57,4.67,7.87,9.05,5.25,8.2,2.26,3.32,1373.04,5.39,1.31,8365.81,34.38,8.82,3.69,5.73,2.55,2026-04-24T01:34:40,2026-04-25T09:07:39
SHP-1055,ORD-5055,Customer 56,Seattle,Boston,UPS,At Port,Normal,Truck,19.11,-0.7,3.45,6.19,0.58,3.47,1.17,2.23,7230.14,2.06,10.12,8751.51,18.9,9.23,4.66,6.4,6.99,2026-04-24T01:34:40,2026-05-04T04:27:18
SHP-1056,ORD-5056,Customer 57,Seattle,Miami,UPS,At Port,Normal,Air,6.41,5.65,2.58,5.67,2.34,1.42,9.23,4.5,2522.94,4.45,11.33,3621.16,23.76,4.77,1.75,3.67,6.1,2026-04-24T01:34:40,2026-05-05T09:33:26
SHP-1057,ORD-5057,Customer 58,Los Angeles,Phoenix,XPO Logistics,At Port,Normal,Rail,5.87,3.94,5.28,2.93,4.98,1.28,6.97,4.01,6236.02,7.59,9.33,1155.32,-1.99,9.43,2.47,7.55,5.46,2026-04-24T01:34:40,2026-05-03T09:31:26
SHP-1058,ORD-5058,Customer 59,Dallas,San Francisco,DHL,Dispatched,Normal,Rail,11.14,-2.53,7.2,8.19,7.38,7.25,4.91,2.23,7616.83,8.37,9.26,4515.46,2.41,3.22,2.54,5.88,8.86,2026-04-24T01:34:40,2026-05-03T07:53:43
SHP-1059,ORD-5059,Customer 60,New York,Phoenix,FedEx,In Transit,High,Ocean,21.79,11.1,7.59,8.64,0.8,3.25,8.26,7.35,7424.41,7.23,4.1,1887.7,17.72,6.93,4.17,9.24,1.31,2026-04-24T01:34:40,2026-04-28T03:54:15
SHP-1060,ORD-5060,Customer 61,New York,Phoenix,DHL,Warehouse Processing,Critical,Air,10.42,9.26,7.28,9.5,0.78,5.27,3.68,6.37,2071.07,9.74,12.82,1293.61,-1.92,9.32,6.97,7.27,4.06,2026-04-24T01:34:40,2026-05-06T21:20:47
SHP-1061,ORD-5061,Customer 62,Dallas,Phoenix,DHL,At Port,Normal,Ocean,15.47,-0.27,7.52,8.12,0.68,3.87,1.59,8.83,463.77,5.86,13.4,8759.55,16.16,3.84,5.19,9.45,8.19,2026-04-24T01:34:40,2026-05-07T11:15:59
SHP-1062,ORD-5062,Customer 63,Chicago,Houston,UPS,In Transit,High,Truck,18.06,2.68,9.98,5.32,3.66,6.65,4.16,7.64,2138.58,4.62,14.78,1193.69,9.18,7.9,7.05,3.59,3.67,2026-04-24T01:34:40,2026-05-08T20:13:48
SHP-1063,ORD-5063,Customer 64,New York,San Francisco,UPS,Dispatched,Normal,Ocean,21.15,8.58,3.1,4.85,1.17,4.46,1.38,4.76,7069.21,9.89,4.06,9452.85,13.7,1.16,5.6,6.52,2.5,2026-04-24T01:34:40,2026-04-28T02:54:40
SHP-1064,ORD-5064,Customer 65,Atlanta,Phoenix,UPS,At Port,High,Air,8.75,-1.02,9.92,6.47,6.35,5.61,3.09,4.15,745.39,6.85,3.47,9694.12,30.35,9.48,2.23,9.35,9.95,2026-04-24T01:34:40,2026-04-27T12:53:29
SHP-1065,ORD-5065,Customer 66,Seattle,San Francisco,UPS,At Port,High,Ocean,14.13,5.49,2.57,2.39,4.85,8.34,4.57,1.82,7056.45,7.26,4.13,2729.44,0.18,7.82,2.18,9.0,9.6,2026-04-24T01:34:40,2026-04-28T04:46:50
SHP-1066,ORD-5066,Customer 67,Atlanta,Phoenix,XPO Logistics,Dispatched,Normal,Truck,17.3,3.93,8.76,1.78,1.11,4.68,8.29,2.98,5561.09,5.96,4.64,853.7,29.05,6.9,3.3,5.46,5.33,2026-04-24T01:34:40,2026-04-28T16:51:18
SHP-1067,ORD-5067,Customer 68,Chicago,Miami,UPS,Dispatched,Normal,Ocean,16.19,9.61,6.33,6.09,7.0,3.4,8.42,7.38,6745.0,7.1,12.16,7004.97,22.21,4.13,7.09,6.57,7.77,2026-04-24T01:34:40,2026-05-06T05:30:47
SHP-1068,ORD-5068,Customer 69,Atlanta,Miami,DHL,In Transit,Normal,Air,7.73,9.09,2.43,8.43,6.74,2.16,8.93,5.57,349.17,1.26,11.41,2941.68,19.68,8.85,3.01,9.83,6.69,2026-04-24T01:34:40,2026-05-05T11:23:48
SHP-1069,ORD-5069,Customer 70,Chicago,San Francisco,J.B. Hunt,Customs Review,Critical,Rail,10.81,6.12,3.34,1.96,7.49,7.85,6.71,1.92,7516.66,8.02,14.48,6910.07,-2.29,5.86,4.56,3.71,7.37,2026-04-24T01:34:40,2026-05-08T13:08:35
SHP-1070,ORD-5070,Customer 71,Los Angeles,Phoenix,DHL,Dispatched,High,Rail,17.74,-1.92,1.61,1.41,6.19,8.84,6.24,1.22,470.35,6.59,14.56,3303.74,14.55,4.11,7.8,7.93,7.15,2026-04-24T01:34:40,2026-05-08T15:07:15
SHP-1071,ORD-5071,Customer 72,Los Angeles,Phoenix,J.B. Hunt,Customs Review,Normal,Rail,8.75,-2.68,5.01,5.06,5.6,2.47,3.46,6.89,2404.1,4.84,10.71,9513.55,1.04,9.97,6.46,4.89,9.49,2026-04-24T01:34:40,2026-05-04T18:39:18
SHP-1072,ORD-5072,Customer 73,Atlanta,Boston,J.B. Hunt,In Transit,Normal,Rail,8.62,-3.5,4.78,9.86,5.39,4.68,6.75,4.32,6955.56,3.47,4.22,4784.78,33.73,4.58,7.21,2.67,8.82,2026-04-24T01:34:40,2026-04-28T06:50:33
SHP-1073,ORD-5073,Customer 74,Chicago,Phoenix,XPO Logistics,In Transit,Normal,Air,15.48,8.74,7.99,6.64,4.11,2.18,7.94,2.06,1263.93,7.85,13.89,6887.1,12.21,8.6,0.74,2.8,5.42,2026-04-24T01:34:40,2026-05-07T22:58:58
SHP-1074,ORD-5074,Customer 75,Chicago,Denver,FedEx,At Port,Normal,Air,11.67,3.68,1.58,3.79,5.0,5.1,6.24,3.62,5651.36,8.18,2.01,8615.21,26.19,3.42,0.59,1.36,5.32,2026-04-24T01:34:40,2026-04-26T01:55:12
SHP-1075,ORD-5075,Customer 76,Seattle,Miami,J.B. Hunt,At Port,High,Truck,5.17,1.22,1.94,5.49,4.38,6.56,3.18,1.79,2999.83,2.28,8.84,428.71,-1.86,9.88,5.77,4.57,2.19,2026-04-24T01:34:40,2026-05-02T21:37:11
SHP-1076,ORD-5076,Customer 77,Atlanta,San Francisco,DHL,Warehouse Processing,High,Rail,5.54,10.98,6.11,2.51,0.89,1.94,7.21,5.87,5759.77,2.8,10.89,8722.59,23.56,8.21,5.27,8.22,4.06,2026-04-24T01:34:40,2026-05-04T22:57:13
SHP-1077,ORD-5077,Customer 78,Seattle,Denver,UPS,Warehouse Processing,Normal,Ocean,17.44,-2.69,8.33,8.36,0.95,5.07,1.72,3.22,1528.49,5.93,8.37,8730.66,3.77,9.05,5.33,9.78,4.03,2026-04-24T01:34:40,2026-05-02T10:26:57
SHP-1078,ORD-5078,Customer 79,New York,Phoenix,DHL,At Port,Normal,Ocean,21.57,6.41,2.64,6.0,2.0,7.47,8.11,7.12,855.93,5.48,14.95,403.46,5.31,6.93,2.21,5.16,8.81,2026-04-24T01:34:40,2026-05-09T00:20:46
SHP-1079,ORD-5079,Customer 80,Atlanta,Denver,XPO Logistics,Dispatched,Normal,Rail,14.84,3.02,7.54,4.34,5.94,9.89,7.68,5.38,7025.36,4.11,13.14,9016.95,11.87,4.83,0.8,3.49,6.33,2026-04-24T01:34:40,2026-05-07T04:54:02
SHP-1080,ORD-5080,Customer 81,Seattle,Phoenix,DHL,Warehouse Processing,Normal,Air,8.05,-0.2,9.21,7.6,7.79,2.18,2.9,2.63,6878.77,6.68,13.73,4973.55,4.89,6.61,5.87,8.84,5.01,2026-04-24T01:34:40,2026-05-07T19:00:46
SHP-1081,ORD-5081,Customer 82,Los Angeles,Houston,DHL,Dispatched,High,Rail,10.53,8.38,5.63,4.52,1.48,9.72,4.23,9.73,3794.18,2.47,10.19,2436.9,-2.06,6.34,2.44,2.53,5.68,2026-04-24T01:34:40,2026-05-04T06:14:29
SHP-1082,ORD-5082,Customer 83,Los Angeles,Phoenix,UPS,Customs Review,High,Air,5.62,7.78,4.03,6.55,5.48,7.36,8.46,5.27,6800.11,3.24,3.35,8076.13,18.41,4.88,1.75,8.81,2.85,2026-04-24T01:34:40,2026-04-27T09:53:52
SHP-1083,ORD-5083,Customer 84,Atlanta,Denver,J.B. Hunt,Dispatched,High,Truck,20.88,1.06,2.01,9.43,4.3,1.35,3.43,1.37,1442.24,5.78,7.33,9867.64,33.6,1.51,1.42,1.04,9.57,2026-04-24T01:34:40,2026-05-01T09:31:00
SHP-1084,ORD-5084,Customer 85,Atlanta,Denver,UPS,Dispatched,High,Ocean,10.23,7.27,6.75,5.4,2.01,7.0,8.81,7.06,7768.32,5.64,1.42,1029.62,21.9,5.09,1.55,4.99,8.81,2026-04-24T01:34:40,2026-04-25T11:38:56
SHP-1085,ORD-5085,Customer 86,Los Angeles,Denver,UPS,Dispatched,High,Truck,14.7,-3.51,2.59,7.15,7.48,5.47,7.23,7.21,5509.15,9.5,13.16,2235.18,21.36,8.54,5.13,4.54,6.86,2026-04-24T01:34:40,2026-05-07T05:31:48
SHP-1086,ORD-5086,Customer 87,Los Angeles,Boston,UPS,In Transit,High,Ocean,14.64,7.82,1.96,9.79,7.09,4.66,6.92,4.64,2818.16,1.43,11.95,6709.17,27.31,9.99,7.03,7.86,8.18,2026-04-24T01:34:40,2026-05-06T00:27:34
SHP-1087,ORD-5087,Customer 88,Seattle,Boston,J.B. Hunt,Warehouse Processing,Normal,Ocean,16.82,2.22,4.92,1.05,3.87,3.92,8.36,3.14,3174.04,5.9,6.55,2349.97,-2.07,2.08,3.25,6.43,7.01,2026-04-24T01:34:40,2026-04-30T14:41:31
SHP-1088,ORD-5088,Customer 89,New York,San Francisco,J.B. Hunt,Customs Review,Normal,Ocean,11.46,2.38,6.58,5.67,4.85,5.31,5.17,5.8,4980.87,8.77,5.78,7672.34,27.52,4.42,0.69,7.46,9.6,2026-04-24T01:34:40,2026-04-29T20:14:14
SHP-1089,ORD-5089,Customer 90,Dallas,San Francisco,XPO Logistics,Customs Review,High,Ocean,20.89,1.63,1.16,9.08,1.26,3.19,2.76,5.37,2277.18,6.83,1.84,2920.24,7.29,1.07,7.45,8.23,5.85,2026-04-24T01:34:40,2026-04-25T21:49:40
SHP-1090,ORD-5090,Customer 91,Seattle,Miami,J.B. Hunt,Customs Review,Normal,Air,8.08,4.4,3.8,4.72,5.82,2.1,6.49,1.96,4668.3,3.45,10.54,2639.97,33.52,7.45,1.86,5.35,8.25,2026-04-24T01:34:40,2026-05-04T14:26:00
SHP-1091,ORD-5091,Customer 92,Atlanta,Phoenix,DHL,Dispatched,High,Rail,8.6,5.78,5.95,6.41,3.58,8.37,1.39,8.56,7230.18,9.56,4.19,3598.87,4.47,6.7,7.13,8.02,3.47,2026-04-24T01:34:40,2026-04-28T06:12:46
SHP-1092,ORD-5092,Customer 93,New York,Phoenix,UPS,Dispatched,Normal,Rail,17.53,9.8,8.4,6.61,2.13,5.07,4.81,1.86,482.02,1.86,3.35,6455.52,19.28,7.01,4.9,5.92,3.09,2026-04-24T01:34:40,2026-04-27T10:01:50
